Loan Identifier,Originator,Borrower Identifier,Property Identifier,Borrower Type,Foreign National,Borrower Year of Birth,Number of Debtors,Second Applicant Year of Birth,Borrower's Employment Status,First-time Buyer,Primary Income,Income Verification for Primary Income,Secondary Income,Income Verification for Secondary Income,Resident,Loan Origination Date,Date of Loan Maturity,Account Status Date,Origination Channel / Arranging Bank or Division,Purpose,Shared Ownership,Loan Term,Principal Grace Period,Amount Guaranteed,Subsidy,Loan Currency Denomination,Original Balance,Current Balance,Fractioned / Subrogated Loans,Repayment Method,Payment Frequency,Payment Due,Payment Type,Debt to Income,Lien,Mortgage Inscription,Interest Rate Type,Current Interest Rate Index,Current Interest Rate,Current Interest Rate Margin,Interest Rate Reset Interval,Revised Interest Rate Index,Restructuring Arrangement,Geographic Region List,Property Postcode,Property Type,Original Loan to Value,Valuation Amount,Original Valuation Type,Valuation Date,Current Loan to Value,Current Valuation Amount,Current Valuation Type,Current Valuation Date,Ipoteca,Account Status,Arrears Balance,Number Months in Arrears,Arrears 1 Month Ago,Arrears 2 Months Ago
4.706E+19,Banca Popolare di Bari,"100,239,809,000,100,000,000",5.4242E+13,1,Y,1967,2,1973,1,Y,23913,3,11956.5,3,2,2002-03,2017-02,2011-11,1,5,1,180,0,92965,N,EUR,92965,15102.05,N,2,1,797.1,1,0.42,1,185930,3,12,6.25,6.25,179,12,N,ITF42,70,1,66.66,139455,1,2002-02,10.83,139455,1,2002-02,185930,1,0,0,0,0
4.706E+19,Banca Popolare di Bari,"100,239,380,000,100,000,000",5.4242E+13,1,Y,1953,2,1955,1,Y,25693.2,3,12846.6,3,2,2002-03,2017-03,2011-11,1,5,1,180,1,99885,N,EUR,99885,16992.69,N,2,1,856.44,1,0.44,1,199770,3,12,6.25,6.25,180,12,N,ITF42,70,1,66.59,150000,1,2008-06,11.33,150000,1,2008-06,199770,1,0,0,0,0
4.706E+19,Banca Popolare di Bari,"100,102,675,000,100,000,000",5.4242E+13,1,Y,1971,2,1973,1,Y,15678.6,3,7839.3,3,2,2002-04,2022-04,2011-11,1,5,1,240,1,89350,N,EUR,89350,38704,N,2,1,522.62,1,1.65,1,178700,6,6,3,1.6,6,6,N,ITF42,70,1,66.67,134025,1,2002-04,28.88,134025,1,2002-04,178700,1,0,0,0,0
4.706E+19,Banca Popolare di Bari,"100,188,773,000,100,000,000",5.4242E+13,1,Y,1973,2,1976,1,Y,14217,3,7108.5,3,2,2002-05,2017-05,2011-11,1,5,1,180,1,55270,N,EUR,55270,10245.22,N,2,1,473.9,1,0.48,1,110540,3,12,6.25,6.25,180,12,N,ITF42,70,1,66.67,82900,1,2002-05,12.36,82900,1,2002-05,110540,1,0,0,0,0
4.706E+19,Banca Popolare di Bari,"59,651,000,000,059,600",5.4242E+13,1,Y,1948,2,1949,1,N,5905.8,3,2952.9,3,2,2002-07,2022-07,2011-11,1,5,1,240,1,191090,N,EUR,191090,15760.24,N,2,1,196.86,1,1.78,1,382180,1,6,2,1.2,6,6,N,ITF42,70,1,98.69,193619.17,1,2002-04,8.14,193619.17,1,2002-04,382180,2,196.86,1,196.86,196.86
4.706E+19,Banca Popolare di Bari,"100,231,392,000,100,000,000",5.4242E+13,1,Y,1965,2,1965,1,Y,13285.8,3,6642.9,3,2,2002-08,2017-08,2011-11,1,5,1,180,1,51650,N,EUR,51650,10741.16,N,2,1,442.86,1,0.54,1,103300,3,12,6.25,6.25,180,12,N,ITF42,70,1,66.67,77475,1,2008-11,13.86,77475,1,2008-11,103300,1,0,0,0,0
4.706E+19,Banca Popolare di Bari,"100,167,424,000,100,000,000",5.4242E+13,1,Y,1972,2,1974,1,Y,34805.4,3,17402.7,3,2,2003-04,2023-04,2011-11,1,5,1,240,0,160000,N,EUR,160000,86369.67,N,2,1,1160.18,1,1.65,1,320000,3,12,6.15,6.15,240,12,N,ITF42,70,1,66.67,240000,1,2008-06,35.99,240000,1,2008-06,320000,1,0,0,0,0
4.706E+19,Banca Popolare di Bari,"211,202,000,100,152,000",5.4242E+13,1,Y,1969,2,1976,1,Y,18010.5,3,9005.25,3,2,2003-06,2018-06,2011-11,1,5,1,180,1,73000,N,EUR,73000,19851.52,N,2,1,600.35,1,0.73,1,146000,3,12,5.6,5.6,180,12,N,ITF42,70,1,66.36,110000,1,2008-07,18.05,110000,1,2008-07,146000,1,0,0,0,0
4.706E+19,Banca Popolare di Bari,"100,107,124,000,100,000,000",5.4242E+13,1,Y,1973,2,1974,1,Y,18745.2,3,9372.6,3,2,2003-06,2024-06,2011-11,1,5,1,252,1,85000,N,EUR,85000,50322.01,N,2,1,624.84,1,1.79,1,170000,3,12,5.8,5.8,252,12,N,ITF42,70,1,66.67,127500,1,2008-10,39.47,127500,1,2008-10,170000,1,0,0,0,0
4.706E+19,Banca Popolare di Bari,"100,271,557,000,100,000,000",5.4242E+13,1,Y,1973,2,1978,1,Y,19033.5,3,9516.75,3,2,2003-06,2023-06,2011-11,1,5,1,240,1,90000,N,EUR,90000,48636.27,N,2,1,634.45,1,1.7,1,180000,3,12,5.8,5.8,240,12,N,ITF42,70,1,66.67,135000,1,2008-10,36.03,135000,1,2008-10,180000,1,0,0,0,0
4.706E+19,Banca Popolare di Bari,"100,269,836,000,100,000,000",5.4242E+13,1,Y,1977,2,1979,1,Y,17270.4,3,8635.2,3,2,2003-06,2018-06,2011-11,1,5,1,180,1,70000,N,EUR,70000,19036.21,N,2,1,575.68,1,0.73,1,140000,3,12,5.6,5.6,180,12,N,ITF42,70,1,66.67,105000,1,2008-06,18.13,105000,1,2008-06,140000,1,0,0,0,0
4.706E+19,Banca Popolare di Bari,"100,126,168,000,100,000,000",5.4242E+13,1,Y,1969,2,1977,1,Y,17270.4,3,8635.2,3,2,2003-06,2018-06,2011-11,1,5,1,180,1,70000,N,EUR,70000,19036.21,N,2,1,575.68,1,0.73,1,140000,3,12,5.6,5.6,180,12,N,ITF42,70,1,66.67,105000,1,2008-05,18.13,105000,1,2008-05,140000,1,0,0,0,0
4.706E+19,Banca Popolare di Bari,"100,036,017,000,000,000,000",5.4242E+13,1,Y,1968,2,1971,1,Y,23896.2,3,11948.1,3,2,2003-06,2018-06,2011-11,1,5,1,180,0,95000,N,EUR,95000,26222.18,N,2,1,796.54,1,0.73,1,190000,3,12,5.9,5.9,180,12,N,ITF42,70,1,66.67,142500,1,2008-10,18.4,142500,1,2008-10,190000,1,0,0,0,0
4.706E+19,Banca Popolare di Bari,"100,032,128,000,100,000,000",5.4242E+13,1,Y,1940,3,1941,8,Y,12967.8,3,6483.9,3,2,2003-06,2018-07,2011-11,1,5,1,180,1,111000,N,EUR,111000,14702.5,N,2,1,432.26,1,0.76,1,222000,3,12,5.4,5.4,181,12,N,ITF42,70,1,66.67,166500,1,2003-05,8.83,166500,1,2003-05,222000,1,0,0,0,0
4.706E+19,Banca Popolare di Bari,"139,730,000,100,174,000",5.4242E+13,1,Y,1961,2,1965,5,Y,18749.4,3,9374.7,3,2,2003-06,2018-06,2011-11,1,5,1,180,1,78000,N,EUR,78000,20789.44,N,2,1,624.98,1,0.74,1,156000,3,12,5.2,5.2,180,12,N,ITF42,70,1,66.67,117000,1,2008-06,17.77,117000,1,2008-06,156000,1,0,0,0,0
4.706E+19,Banca Popolare di Bari,"100,271,747,000,100,000,000",5.4242E+13,1,Y,1967,2,1969,1,Y,24835.5,3,12417.75,3,2,2003-06,2018-07,2011-11,1,5,1,180,1,104000,N,EUR,104000,28288.75,N,2,1,827.85,1,0.76,1,208000,3,12,5.1,5.1,181,12,N,ITF42,70,1,66.67,156000,1,2008-10,18.13,156000,1,2008-10,208000,1,0,0,0,0
4.706E+19,Banca Popolare di Bari,"100,274,393,000,100,000,000",5.4242E+13,1,Y,1973,2,1978,1,Y,15624.3,3,7812.15,3,2,2003-07,2018-07,2011-11,1,5,1,180,1,65000,N,EUR,65000,17769.74,N,2,1,520.81,1,0.76,1,130000,3,12,5.2,5.2,180,12,N,ITF42,70,1,66.67,97500,1,2008-10,18.23,97500,1,2008-10,130000,1,0,0,0,0
4.706E+19,Banca Popolare di Bari,"100,274,377,000,100,000,000",5.4242E+13,1,Y,1974,2,1975,1,Y,18420.9,3,9210.45,3,2,2003-07,2023-07,2011-11,1,5,1,240,1,90000,N,EUR,90000,48175.98,N,2,1,614.03,1,1.74,1,180000,3,12,5.4,5.4,240,12,N,ITF42,70,1,66.67,135000,1,2008-11,35.69,135000,1,2008-11,180000,1,0,0,0,0
4.706E+19,Banca Popolare di Bari,"86,252,000,000,059,800",5.4242E+13,1,Y,1941,2,1942,1,N,21504.9,3,10752.45,3,2,2003-07,2023-08,2011-11,1,5,1,240,0,123000,N,EUR,123000,62237.32,N,2,1,716.83,1,1.93,1,246000,6,6,3,1.8,6,6,N,ITF42,70,1,66.67,184500,1,2008-10,33.73,184500,1,2008-10,246000,1,0,0,0,0
4.706E+19,Banca Popolare di Bari,"100,273,865,000,100,000,000",5.4242E+13,1,Y,1938,3,1946,8,N,8286.9,3,4143.45,3,2,2003-09,2018-09,2011-11,1,5,1,180,0,40000,N,EUR,40000,10502,N,2,1,276.23,1,0.84,1,80000,3,12,3,3,180,12,N,ITF42,70,1,66.67,60000,1,2008-10,17.5,60000,1,2008-10,80000,2,276.23,1,276.23,276.23
4.706E+19,Banca Popolare di Bari,"100,204,558,000,100,000,000",5.4242E+13,1,Y,1975,2,1979,1,Y,22494,3,10275.45,3,2,2003-09,2023-09,2011-11,1,5,1,240,1,97171,N,EUR,97171,54961.21,N,2,1,685.03,1,1.68,1,194342,3,12,5.65,5.65,240,12,N,ITF42,70,1,66.67,145756,1,2008-09,37.71,145756,1,2008-09,194342,2,1375.21,2,685.03,0
4.706E+19,Banca Popolare di Bari,"100,280,249,000,100,000,000",5.4242E+13,1,Y,1980,2,1983,1,N,21822.3,3,10911.15,3,2,2003-10,2018-10,2011-11,1,5,1,180,0,90000,N,EUR,90000,26463.39,N,2,1,727.41,1,0.81,1,180000,3,12,5.65,5.65,180,12,N,ITF42,70,1,66.67,135000,1,2003-10,19.6,135000,1,2003-10,180000,1,0,0,0,0
4.706E+19,Banca Popolare di Bari,"100,283,876,000,100,000,000",5.4242E+13,1,Y,1977,2,1977,1,Y,15140.7,3,7570.35,3,2,2003-12,2018-12,2011-11,1,5,1,180,0,60000,N,EUR,60000,19093.04,N,2,1,504.69,1,0.84,1,120000,3,12,5.95,5.95,180,12,N,ITF42,70,1,66.67,90000,1,2003-12,21.21,90000,1,2003-12,120000,1,0,0,0,0
4.706E+19,Banca Popolare di Bari,"100,286,031,000,100,000,000",5.4242E+13,1,Y,1943,2,1944,8,N,13208.5,3,6604.25,3,2,2003-11,2017-12,2011-11,1,5,1,180,0,60513.15,N,EUR,60513.15,15179.23,N,2,3,2641.7,1,0.77,1,124000,1,6,2.5,1.3,6,6,N,ITF42,70,1,65.07,93000,1,2008-10,16.32,93000,1,2008-10,124000,2,2641.7,1,0,0
4.706E+19,Banca Popolare di Bari,"100,015,176,000,100,000,000",5.4242E+13,1,Y,1957,2,1959,1,N,5450.7,3,2725.35,3,2,2004-01,2019-01,2011-11,1,5,1,180,0,25000,N,EUR,25000,7398.28,N,2,1,181.69,1,0.9,1,50000,6,6,3,1.8,6,6,N,ITF42,70,1,66.67,37500,1,2008-06,19.73,37500,1,2008-06,50000,1,0,0,0,0
4.706E+19,Banca Popolare di Bari,"79,270,000,000,079,200",5.4242E+13,1,Y,1954,2,1961,1,Y,20971.2,3,10485.6,3,2,2004-02,2018-06,2011-11,1,5,1,171,0,82227.28,N,EUR,82227.28,23115.48,N,2,1,699.04,1,0.73,1,170000,3,12,5.6,5.6,172,12,N,ITF42,70,1,66.31,124000,1,2008-09,18.64,124000,1,2008-09,170000,1,0,0,0,0
4.706E+19,Banca Popolare di Bari,"100,291,780,000,100,000,000",5.4242E+13,1,Y,1979,2,1980,1,Y,15140.7,3,7570.35,3,2,2004-05,2019-05,2011-11,1,1,1,180,1,60000,N,EUR,60000,21113.02,N,2,1,504.69,1,0.93,1,120000,3,12,5.95,5.95,180,12,N,ITF42,70,1,66.67,90000,1,2008-10,23.46,90000,1,2008-10,120000,1,0,0,0,0
4.706E+19,Banca Popolare di Bari,"100,065,007,000,000,000,000",5.4242E+13,1,Y,1960,2,1969,1,Y,21116.1,3,10558.05,3,2,2004-05,2024-05,2011-11,1,1,1,240,1,100000,N,EUR,100000,58217.13,N,2,1,703.87,1,1.84,1,200000,3,12,6,6,240,12,N,ITF42,70,1,85.22,117338.86,1,2004-02,49.61,117338.86,1,2004-02,200000,1,0,0,0,0
4.706E+19,Banca Popolare di Bari,"100,303,745,000,100,000,000",5.4242E+13,1,Y,1994,2,1999,1,N,13211.6,3,6605.8,3,2,2004-06,2017-12,2011-11,1,5,1,180,0,58911.64,N,EUR,58911.64,12730.2,N,2,3,2642.32,1,0.64,1,104000,1,6,2.5,1.3,6,6,N,ITF42,70,1,66.67,88365,1,2008-09,14.41,88365,1,2008-09,104000,1,0,0,0,0
4.706E+19,Banca Popolare di Bari,"68,360,600,000,000,000,000",5.4242E+13,1,Y,1948,2,1950,1,N,49613.7,3,24806.85,3,2,2005-02,2020-02,2011-11,1,1,1,180,0,230000,N,EUR,230000,86320.83,N,2,1,1653.79,1,1.16,1,460000,6,6,3,1.6,6,6,N,ITF42,70,1,66.67,345000,1,2008-10,25.02,345000,1,2008-10,460000,1,0,0,0,0
4.706E+19,Banca Popolare di Bari,"77,362,000,000,132,900",5.4242E+13,1,Y,1960,2,1962,5,N,14712.9,3,7356.45,3,2,2005-06,2025-06,2011-11,1,1,1,240,0,85000,N,EUR,85000,50789.58,N,2,1,490.43,1,2.3,1,170000,6,6,3,1.8,6,6,N,ITF42,70,1,66.67,127500,1,2008-10,39.83,127500,1,2008-10,170000,1,0,0,490.43,0
4.706E+19,Banca Popolare di Bari,"400,524,589,000,100,000,000",5.4242E+13,1,Y,1962,3,1983,1,N,10623.75,3,5311.88,3,2,2005-07,2031-12,2011-11,1,5,1,180,0,100000,N,EUR,100000,56402.78,N,2,3,2100.12,1,3.54,1,200000,1,6,2.2,2,6,6,N,ITF42,70,1,66.67,150000,1,2008-06,37.6,150000,1,2008-06,200000,1,0,0,0,0
4.706E+19,Banca Popolare di Bari,"400,469,315,000,400,000,000",5.4242E+13,1,Y,1939,2,1944,8,N,14719.2,3,7359.6,3,2,2005-09,2015-09,2011-11,1,1,1,120,1,45000,N,EUR,45000,1456.1,N,2,1,490.64,1,0.07,1,90000,3,12,6.25,6.25,120,12,N,ITF42,70,1,66.67,67500,1,2008-08,2.16,67500,1,2008-08,90000,1,0,0,0,0
4.706E+19,Banca Popolare di Bari,"100,344,439,000,100,000,000",5.4242E+13,1,Y,1966,2,1968,1,N,13322.4,3,6661.2,3,2,2005-10,2015-09,2011-11,1,1,1,120,0,40000,N,EUR,40000,1318.56,N,2,1,444.08,1,0.07,1,80000,3,12,6,6,119,12,N,ITF42,70,1,30.77,130000,1,2005-07,1.01,130000,1,2005-07,80000,1,0,0,0,0
4.706E+19,Banca Popolare di Bari,"100,350,383,000,100,000,000",5.4242E+13,1,Y,1957,2,1961,1,N,21883.2,3,10941.6,3,2,2005-10,2025-12,2011-11,1,5,1,240,3,108700,N,EUR,108700,71128.23,N,2,1,729.44,1,2.17,1,217400,3,12,5.2,5.2,242,12,N,ITF42,70,1,67.1,162000,1,2008-09,43.91,162000,1,2008-09,217400,2,729.44,1,729.44,729.44
4.706E+19,Banca Popolare di Bari,"100,342,249,000,100,000,000",5.4242E+13,1,Y,1950,2,1953,1,N,6004.5,3,3002.25,3,2,2005-12,2015-12,2011-11,1,1,1,120,1,20000,N,EUR,20000,1190.27,N,2,1,200.15,1,0.13,1,40000,6,6,3,1.4,6,6,N,ITF42,70,1,66.67,30000,1,2008-09,3.97,30000,1,2008-09,40000,1,0,0,0,0
4.706E+19,Banca Popolare di Bari,"23,048,000,000,023,000",5.4242E+13,1,Y,1958,2,1960,1,N,14712.9,3,7356.45,3,2,2006-01,2018-01,2011-11,1,1,1,144,1,55000,N,EUR,55000,14581.07,N,2,1,489.41,1,0.66,1,110000,6,6,3,2.8,6,6,N,ITF42,70,1,39.36,139750,1,2005-11,10.43,139750,1,2005-11,110000,1,0,0,0,0
4.706E+19,Banca Popolare di Bari,"100,337,211,000,100,000,000",5.4242E+13,1,Y,1966,2,1967,1,N,16216.25,3,8108.13,3,2,2005-06,2020-06,2011-11,1,5,1,180,0,77957.56,N,EUR,77957.56,30717.8,N,2,3,3243.25,1,1.26,1,160000,1,6,2,1.2,6,6,N,ITF42,70,1,64.96,120000,1,2008-10,25.6,120000,1,2008-10,160000,1,0,0,0,0
4.706E+19,Banca Popolare di Bari,"100,413,791,000,100,000,000",5.4242E+13,1,Y,1969,2,1975,5,N,18000,3,8041.8,3,2,2006-07,2027-07,2011-11,1,1,1,240,0,100000,N,EUR,100000,67973.62,N,2,1,531.47,1,2.61,1,200000,1,6,1.9,1.7,6,6,N,ITF42,70,1,66.67,150000,1,2008-10,45.32,150000,1,2008-10,200000,2,531.47,1,0,0
4.706E+19,Banca Popolare di Bari,"100,425,226,000,100,000,000",5.4242E+13,1,Y,1945,2,1948,8,Y,11727,3,5863.5,3,2,2006-07,2016-03,2011-11,1,5,1,116,0,33095.92,N,EUR,33095.92,3420.49,N,2,1,390.9,1,0.19,1,87798,3,12,6.85,6.85,116,12,N,ITF42,70,1,66.66,49650,1,2008-09,6.89,49650,1,2008-09,87798,1,0,0,0,0
4.706E+19,Banca Popolare di Bari,"100,045,981,000,100,000,000",5.4242E+13,1,Y,1972,2,1972,1,N,13910.4,3,6955.2,3,2,2006-11,2037-11,2011-11,1,1,1,360,0,120000,N,EUR,120000,98898.55,N,2,1,463.76,1,4.74,1,240000,1,4,2,1.75,3,4,N,ITF42,70,1,95.39,125803,1,2006-09,78.61,125803,1,2006-09,240000,1,0,0,0,0
4.706E+19,Banca Popolare di Bari,"124,062,000,000,124,000",5.4242E+13,1,Y,1960,2,1966,1,N,16577.7,3,8288.85,3,2,2007-02,2017-01,2011-11,1,1,1,120,0,50000,N,EUR,50000,10000.39,N,2,1,552.59,1,0.4,1,100000,3,12,5.9,5.9,119,12,N,ITF42,70,1,24.88,201000,1,2006-12,4.98,201000,1,2006-12,100000,1,0,0,0,0
4.706E+19,Banca Popolare di Bari,"203,578,000,100,424,000",5.4242E+13,1,Y,1942,2,1948,8,N,27900.3,3,13950.15,3,2,2007-02,2022-02,2011-11,1,1,1,180,0,140000,N,EUR,140000,69599.99,N,2,1,930.01,1,1.66,1,280000,1,4,2,1.5,3,4,N,ITF42,70,1,27.34,512000,1,2007-02,13.59,512000,1,2007-02,280000,1,0,0,0,0
4.706E+19,Banca Popolare di Bari,"100,144,332,000,100,000,000",5.4242E+13,1,Y,1976,2,1980,1,N,12654.9,3,6327.45,3,2,2007-06,2022-05,2011-11,1,1,1,180,0,52000,N,EUR,52000,29019.19,N,2,1,421.83,1,1.53,1,104000,3,12,5.55,5.55,179,12,N,ITF42,70,1,59.77,87000,1,2008-06,33.36,87000,1,2008-06,104000,1,0,0,0,0
4.706E+19,Banca Popolare di Bari,"100,475,577,000,100,000,000",5.4242E+13,1,Y,1982,2,1985,1,N,17086.5,3,8543.25,3,2,2007-05,2037-05,2011-11,1,1,1,360,0,137000,N,EUR,137000,113498.55,N,2,1,558.17,1,4.43,1,274000,1,4,2.45,2.4,3,4,N,ITF42,70,1,100,137000,1,2007-03,82.85,137000,1,2007-03,274000,1,0,0,0,0
4.706E+19,Banca Popolare di Bari,"100,479,930,000,100,000,000",5.4242E+13,1,Y,1973,2,1981,1,N,20130,3,10065,3,2,2007-05,2022-06,2011-11,1,1,1,180,1,85000,N,EUR,85000,48414.25,N,2,1,671,1,1.6,1,170000,3,12,5,5,181,12,N,ITF42,70,1,66.67,127500,1,2007-05,37.97,127500,1,2007-05,170000,2,1346.96,2,671,0
4.706E+19,Banca Popolare di Bari,"100,485,287,000,100,000,000",5.4242E+13,1,Y,1964,2,1966,1,N,15812.4,3,7906.2,3,2,2007-06,2038-06,2011-11,1,1,1,360,1,130000,N,EUR,130000,111478.46,N,2,1,516.16,1,4.7,1,260000,1,4,2.1,2.05,3,4,N,ITF42,70,1,77.84,167000,1,2007-04,66.75,167000,1,2007-04,260000,2,1556.33,3,1559.15,1561.81
4.706E+19,Banca Popolare di Bari,"19,310,000,100,356,600",5.4242E+13,1,Y,1942,2,1943,8,N,15256.35,3,7628.18,3,2,2007-07,2022-12,2011-11,1,1,1,180,1,60000,N,EUR,60000,36491.76,N,2,3,3051.27,1,1.59,1,120000,3,12,5.95,5.95,185,12,N,ITF42,70,1,66.67,90000,1,2007-06,40.55,90000,1,2007-06,120000,1,0,0,0,0
4.706E+19,Banca Popolare di Bari,"164,413,000,000,127,000",5.4242E+13,1,Y,1965,2,1968,1,N,18172.2,3,9086.1,3,2,2007-07,2022-07,2011-11,1,1,1,180,1,90000,N,EUR,90000,47969.37,N,2,1,605.74,1,1.76,1,180000,1,4,2,1.5,3,4,N,ITF42,70,1,57.14,157500,1,2007-06,30.46,157500,1,2007-06,180000,1,0,0,0,605.74
4.706E+19,Banca Popolare di Bari,"100,197,368,000,100,000,000",5.4242E+13,1,Y,1968,2,1970,1,N,54817.2,3,27408.6,3,2,2007-09,2027-08,2011-11,1,1,1,240,0,600000,N,EUR,600000,236625.33,N,2,1,1827.24,1,2.88,1,1200000,1,4,2,1.1,3,4,N,ITF42,70,1,85.71,700000,1,2007-07,33.8,700000,1,2007-07,1200000,1,0,0,0,0
4.706E+19,Banca Popolare di Bari,"205,415,000,100,472,000",5.4242E+13,1,Y,1952,2,1960,1,N,10658.1,3,5329.05,3,2,2007-10,2017-10,2011-11,1,1,1,120,1,32000,N,EUR,32000,9259.91,N,2,1,355.27,1,0.58,1,64000,3,12,6,6,120,12,N,ITF42,70,1,23.36,137000,1,2007-08,6.76,137000,1,2007-08,64000,1,0,0,0,0
4.706E+19,Banca Popolare di Bari,"100,297,756,000,100,000,000",5.4242E+13,1,Y,1964,2,1965,1,N,22990,3,7031.7,3,2,2007-11,2022-11,2011-11,1,1,1,180,1,70000,N,EUR,70000,38744.81,N,2,1,468.78,1,1.29,1,140000,1,4,2,1.5,3,4,N,ITF42,70,1,66.67,105000,1,2008-06,36.9,105000,1,2008-06,140000,1,0,0,0,0
